,name,year,imdb,number_votes,age_rating,runtime,genres,actors
826,Wu-Tang: An American Saga,(2019– ),8.3,2256,none,49,"Biography, Drama","Tamiz U. Rezvi, Erika Alexander, T.J. Atoms, Joey Bada$$"
827,Scare Pewdiepie,(2016– ),3.8,2250,none,18,"Comedy, Horror, Reality-TV","Felix Kjellberg, David Storrs, Damon Zwicker, Sven Holmberg"
828,Der Pass,(2018– ),8.0,2249,none,43,"Crime, Drama, Mystery","Julia Jentsch, Nicholas Ofczarek, Franz Hartwig, Hanno Koffler"
829,Chelsea Does,(2016– ),7.3,2249,none,70,Documentary,"Chelsea Handler, Steven David, Mary McCormack, Irving Azoff"
830,Yasamayanlar,(2018),5.6,2248,none,60,"Action, Adventure, Drama","Elçin Sangu, Kerem Bürsin, Birkan Sokullu, Selma Ergeç"
831,Dangshini Jamdeun Saie,(2017),8.4,2248,none,30,"Comedy, Drama, Fantasy","Suzy Bae, Jong-Suk Lee, Hae-In Jung, Sang-Yeob Lee"
832,Broken,(2017– ),8.1,2248,none,60,Drama,"Sean Bean, Adrian Dunbar, Fin Campbell, Sam Rintoul"
833,"Me, Myself and I",(2017–2018),7.2,2242,none,30,Comedy,"Bobby Moynihan, Jack Dylan Grazer, Brian Unger, Jaleel White"
834,Camping,(2018– ),4.8,2239,none,30,Comedy,"Jennifer Garner, David Tennant, Juliette Lewis, Chris Sullivan"
835,Chacha Vidhayak Hain Hamare,(2018– ),8.0,2234,none,none,Comedy,"Alka Amin, Pritha Bakshi, Zakir Hussain, Zakir Khan"
836,Fam,(2019),6.0,2234,none,30,Comedy,"Nina Dobrev, Tone Bell, Odessa A’zion, Sheryl Lee Ralph"
837,Halka,(2019– ),8.8,2230,none,120,"Action, Crime, Drama","Serkan Çayoglu, Hande Erçel, Kaan Yildirim, Hazal Subasi"
838,Light as a Feather,(2018– ),6.6,2228,none,23,Thriller,"Liana Liberato, Haley Ramm, Brianne Tju, Jordan Rodrigues"
839,The Letdown,(2017– ),7.5,2228,none,30,Comedy,"Alison Bell, Duncan Fellows, Leon Ford, Sacha Horler"
840,The Fix,(2019),6.5,2225,none,60,"Crime, Drama, Mystery","Robin Tunney, Adam Rayner, Merrin Dungey, Breckin Meyer"
841,Mercy Street,(2016–2017),7.4,2222,none,53,"Drama, History","McKinley Belcher III, Suzanne Bertish, Norbert Leo Butz, Gary Cole"
842,Uma Odisseia Coreana,(2017– ),8.2,2220,none,75,Fantasy,"Seung-gi Lee, Seung-won Cha, Lee El, Seong-oh Kim"
843,Freakish,(2016–2018),6.4,2220,none,22,"Horror, Sci-Fi","Leo Howard, Liza Koshy, Adam Hicks, Meghan Rienks"
844,Rotten,(2018–2019),7.1,2217,12,55,Documentary,"Latif Nasser, Casey Cox, Stanley Crawford, Leslie Lopatofsky"
845,Primal,(2019– ),8.8,2215,none,22,"Animation, Action, Adventure","Aaron LaPlante, Tom Kenny, Jon Olson, none"
846,Vår tid är nu,(2017– ),8.2,2212,none,60,Drama,"Hedda Stiernstedt, Charlie Gustafsson, Adam Lundgren, Josefin Neldén"
847,This Country,(2017– ),8.4,2210,none,21,Comedy,"Daisy May Cooper, Charlie Cooper, Paul Chahidi, Trevor Cooper"
848,Broken But Beautiful,(2018– ),9.1,2205,none,22,Drama,"Pooja Bhamrrah, Jitin Gulati, Vikrant Massey, Harleen Sethi"
849,Making History,(2017),6.2,2199,none,21,"Adventure, Comedy, History","Adam Pally, Leighton Meester, Yassir Lester, John Gemberling"
850,Downward Dog,(2017),7.4,2199,none,21,Comedy,"Allison Tolman, Samm Hodges, Lucas Neff, Kirby Howell-Baptiste"
