,name,year,imdb,number_votes,age_rating,genres,directors
967,Cubots: The Origins,2017,7.9,14,none,Adventure,Mahesh Athirala
968,The Letter,2017,8.4,14,none,Horror,Amber Lee Connors
969,Deus Ex Go,2016,7.5,14,none,none,none
970,Fe,2018,7.7,14,none,"Adventure, Fantasy",Andreas Beijer
971,Abo Khashem,2018,6.4,14,none,Game-Show,Daniel Lindgren
972,The Fifth Expedition,2016,2.4,14,none,Action,Georg Andreas Gerhard Scharfenberg
973,Dracula: Collection,2016,8.0,14,none,Horror,Paul Barrett
974,Gemini: Heroes Reborn,2016,7.4,14,none,none,Brian T. Delaney
975,Anima: Gate of Memories,2016,8.4,14,none,Adventure,John Joseph Archer II
976,WWE Immortals,2015,7.7,14,none,Action,none
977,Avengers: Damage Control,2019,6.2,14,none,Action,Benedict Cumberbatch
978,Asphalt 9: Legends,2018,7.3,14,none,Action,none
979,American Fugitive,2019,6.4,14,none,"Action, Adventure, Crime",none
980,One Punch Man: Road to Hero,2019,6.8,14,none,Action,Makoto Furukawa
981,Anno 1800,2019,7.6,14,none,none,Dirk Riegert
982,While True: Learn(),2018,5.4,14,none,none,none
983,Displaced,2017,8.1,14,none,"Action, Drama",none
984,Pokémon Quest,2018,4.6,13,none,Adventure,Tetsuya Watanabe
985,Don't Knock Twice,2017,3.9,13,none,Horror,Dai Banner
986,Sayonara Wild Hearts,2019,8.4,13,none,Action,none
987,Tales from Candlekeep: Tomb of Annihilation,2017,5.5,13,none,Fantasy,none
988,Baldur's Gate: Siege of Dragonspear,2016,6.5,13,none,"Action, Adventure, Fantasy",Trent Oster
989,Golf Story,2017,7.5,13,none,"Adventure, Sport",none
990,BOMBARIKA,2018,7.8,13,none,Adventure,Mahesh Athirala
991,Arizona Sunshine,2016,7.5,13,none,Horror,Richard Stitselaar
992,Unforgiving: A Northern Hymn,2017,6.5,13,none,Horror,Victor Jonsson
993,Tabletop Simulator,2015,8.2,13,none,none,none
994,Rory McIlroy PGA Tour,2015,7.5,13,none,Sport,Rory McIlroy
995,Psychonauts in the Rhombus of Ruin,2017,7.4,13,none,"Adventure, Sci-Fi",Tim Schafer
996,Starbo,2018,8.4,13,none,"Adventure, Horror",David Örneklint
997,Piano Tiles 2,2015,7.0,13,none,"Family, Music",none
998,Luigi's Mansion: Arcade,2015,8.0,13,none,"Action, Adventure, Family",Charles Martinet
999,Starpoint Gemini Warlords,2017,8.5,13,none,Sci-Fi,Tomislav Mihokovic
