,name,year,imdb,number_votes,age_rating,genres,directors
138,For Honor,2017,6.5,638,16,Action,Laurent Bernier
139,Life Is Strange 2,2018,6.9,637,14,Drama,Raoul Barbet
140,Pokémon GO,2016,6.5,630,none,"Action, Adventure, Family",Ektor Pan
141,Guardians of the Galaxy: The Telltale Series,2017,7.8,625,12,"Action, Adventure, Comedy",Jonathan Stauder
142,The Dark Pictures: Man of Medan,2019,6.8,619,none,"Adventure, Drama, Horror",Tom Heaton
143,A Plague Tale: Innocence,2019,8.5,616,none,"Action, Adventure, Horror",Kevin Choteau
144,Control,2019,8.4,611,16,"Action, Adventure, Sci-Fi",Mikael Kasurinen
145,Hotline Miami 2: Wrong Number,2015,7.8,606,none,"Action, Crime, Thriller",Jonatan Söderström
146,Lego Dimensions,2015,7.7,603,none,"Action, Adventure, Comedy",James McLoughlin
147,Kingdom Come: Deliverance,2018,8.4,602,none,"Action, Adventure, Drama",Daniel Vávra
148,Nioh,2017,8.1,599,16,"Action, Adventure, Fantasy",Yosuke Hayashi
149,Abzû,2016,7.7,569,Livre,Adventure,Matt Nava
150,Super Mario Maker,2015,8.2,558,none,"Action, Adventure, Family",Yosuke Oshino
151,Tekken 7,2015,7.5,555,12,"Action, Adventure, Drama",Katsuhiro Harada
152,Doki Doki Literature Club!,2017,8.2,553,none,"Drama, Horror, Romance",Dan Salvato
153,Sonic Forces,2017,6.1,548,Livre,"Animation, Action, Adventure",Morio Kishimoto
154,Five Nights at Freddy's 3,2015,6.4,548,none,Horror,Scott Cawthon
155,NBA 2K16,2015,6.7,543,none,Sport,Spike Lee
156,Anthem,2019,5.4,542,14,"Action, Adventure, Sci-Fi",Jon Warner
157,Ryû ga gotoku Zero: Chikai no basho,2015,9.0,539,none,Action,Kazuki Hosokawa
158,XCom 2,2016,8.3,533,none,"Action, Sci-Fi",Jacob Solomon
159,Wreck-it Ralph: Ralph Breaks VR,2018,7.2,526,none,"Action, Fantasy",none
160,Unravel,2016,8.0,515,none,"Adventure, Fantasy",Martin Sahlin
161,Hitman 2,2018,8.3,511,none,"Action, Adventure, Comedy",Jacob Mikkelsen
162,Gears of War: Ultimate Edition,2015,8.5,505,none,"Action, Adventure, Sci-Fi",Kyle Gaulin
163,Civilization VI,2016,8.1,504,10,"Action, Family, History",Sean Bean
164,Forza Horizon 4,2018,8.8,483,none,"Action, Adventure, Crime",Joanne King
165,Forza Horizon 3,2016,8.7,482,Livre,"Action, Adventure, Crime",Ralph Fulton
166,Dishonored: Death of the Outsider,2017,7.9,481,none,"Action, Adventure, Fantasy",Harvey Smith
167,Back to the Future: The Game - 30th Anniversary Edition,2015,8.1,480,none,"Action, Adventure, Comedy",Dave Grossman
168,Superhot,2016,7.6,478,12,"Action, Sci-Fi",Piotr Iwanicki
169,Spyro Reignited Trilogy,2018,8.7,475,none,"Action, Adventure, Comedy",Tom Kenny
170,Jurassic World Evolution,2018,7.7,472,12,"Adventure, Family, Horror",Michael Brookes
171,Gears 5,2019,8.0,471,none,"Action, Adventure, Sci-Fi",Rod Fergusson
