,name,year,imdb,number_votes,age_rating,runtime,genres,directors,actors
346,The Righteous Gemstones,(2019– ),8.1,7791,none,36,Comedy,John Goodman,"Danny McBride, Adam Devine, Edi Patterson, none"
347,Undone,(2019– ),8.3,7778,10,23,"Animation, Drama, Fantasy",Rosa Salazar,"Angelique Cabral, Constance Marie, Siddharth Dhananjay, none"
348,The Bold Type,(2017– ),8.0,7774,16,45,Drama,Katie Stevens,"Aisha Dee, Meghann Fahy, Melora Hardin, none"
349,Assassinos Wu,(2019– ),6.5,7770,14,44,"Action, Crime, Drama",Iko Uwais,"Byron Mann, Li Jun Li, Lawrence Kao, none"
350,Eu Tu e Ela,(2016– ),7.1,7743,none,28,"Comedy, Drama, Romance",Greg Poehler,"Rachel Blanchard, Priscilla Faia, Melanie Papalia, none"
351,Impulse,(2018– ),7.5,7725,14,50,"Action, Drama, Sci-Fi",Maddie Hasson,"Sarah Desjardins, Enuka Okuma, Craig Arnold, none"
352,Between,(2015–2016),6.0,7722,none,60,"Drama, Mystery, Sci-Fi",Jennette McCurdy,"Jesse Carere, Justin Kelly, Kyle Mac, none"
353,White Gold,(2017– ),7.4,7644,none,30,Comedy,Ed Westwick,"James Buckley, Joe Thomas, Linzey Cocker, none"
354,Angie Tribeca,(2016–2018),7.0,7580,none,30,"Action, Comedy, Crime",Rashida Jones,"Jere Burns, Andree Vermeulen, Deon Cole, none"
355,Demon Slayer: Kimetsu no Yaiba,(2019– ),8.9,7568,12,25,"Animation, Action, Fantasy",Natsuki Hanae,"Zach Aguilar, Abby Trott, Aleks Le, none"
356,On My Block,(2018– ),8.1,7460,none,30,Comedy,Sierra Capri,"Jason Genao, Brett Gray, Diego Tinoco, none"
357,Mad Dogs,(2015–2016),7.5,7408,none,56,"Comedy, Crime, Drama",Ben Chaplin,"Michael Imperioli, Romany Malco, Steve Zahn, none"
358,FBI,(2018– ),6.6,7373,none,60,"Crime, Drama, Mystery",Missy Peregrym,"Zeeko Zaki, Ebonee Noel, Jeremy Sisto, none"
359,Condor,(2018– ),7.8,7369,none,60,"Action, Drama, Thriller",Max Irons,"Kristen Hager, Bob Balaban, Gage Graham-Arbuthnot, none"
360,Delhi Crime,(2019– ),8.5,7343,none,50,"Crime, Drama",Shefali Shah,"Rajesh Tailang, Rasika Dugal, Anurag Arora, none"
361,Poyraz Karayel,(2015–2017),8.0,7340,none,123,"Action, Drama",Ilker Kaleli,"Burçin Terzioglu, Musa Uzunlar, Ali Il, none"
362,Bard of Blood,(2019– ),7.4,7310,none,45,"Action, Adventure, Drama",Emraan Hashmi,"Sobhita Dhulipala, Jaideep Ahlawat, Shishir Sharma, none"
363,Togetherness,(2015–2016),7.5,7270,none,30,"Comedy, Drama, Romance",Mark Duplass,"Melanie Lynskey, Amanda Peet, Steve Zissis, none"
364,Whiskey Cavalier,(2019),7.1,7269,none,60,"Action, Adventure, Comedy",Scott Foley,"Lauren Cohan, Ana Ortiz, Tyler James Williams, none"
365,Deception,(2018),7.5,7269,none,41,"Crime, Drama, Mystery",Jack Cutmore-Scott,"Ilfenesh Hadera, Lenora Crichlow, Justin Chon, none"
366,Fi,(2017–2018),8.0,7254,none,60,"Drama, Romance",Ozan Güven,"Serenay Sarikaya, Mehmet Günsür, Berrak Tüzünataç, none"
367,SideHero,(2018– ),8.7,7225,none,30,Comedy,Sanjay Nath,"Rytasha Rathore, Kunaal Roy Kapur, Gauhar Khan, none"
368,Strike,(2017– ),7.9,7211,none,60,"Crime, Drama, Mystery",Tom Burke,"Holliday Grainger, Kerr Logan, Killian Scott, none"
369,Jean-Claude Van Johnson,(2016–2017),7.7,7183,none,30,"Action, Comedy, Drama",Kat Foster,"Moises Arias, Bar Paly, Tim Peper, none"
370,Payitaht Abdülhamid,(2017– ),5.0,7116,none,120,"Action, Drama, History",Bülent Inal,"Özlem Conker, Bahadir Yenisehirlioglu, Hakan Boyav, none"
371,Outsiders,(I) (2016–2017),7.5,7101,none,60,"Crime, Drama",David Morse,"Ryan Hurst, Kyle Gallner, Christina Jackson, none"
372,Violet Evergarden,(2018),8.4,7100,none,24,"Animation, Drama, Fantasy",Yui Ishikawa,"Raissa Bueno, Aya Endô, Takehito Koyasu, none"
373,Damien,(2016),6.9,7040,none,60,"Drama, Horror",Bradley James,"Megalyn Echikunwoke, Omid Abtahi, Barbara Hershey, none"
374,Sseulsseulhago Chalranhashin: Dokkaebi,(2016–2017),8.6,7026,none,60,"Drama, Fantasy, Romance",Yoo Gong,"Go-eun Kim, Dong-Wook Lee, In-Na Yoo, none"
375,Voltron: O Defensor Lendário,(2016–2018),8.2,6933,none,23,"Animation, Short, Action",Jeremy Shada,"Bex Taylor-Klaus, Tyler Labine, Kimberly Brooks, none"
376,Magnum P.I.,(2018– ),5.6,6907,none,43,"Action, Adventure, Crime",Zachary Knighton,"Stephen Hill, Jay Hernandez, Perdita Weeks, none"
377,O Jogador,(2015),7.0,6887,none,60,"Action, Crime, Drama",Philip Winchester,"Damon Gupton, Wesley Snipes, Charity Wakefield, none"
378,Supermães,(2017– ),7.4,6837,16,30,Comedy,Catherine Reitman,"Dani Kind, Juno Rinaldi, Philip Sternberg, none"
379,Okkupert,(2015– ),7.7,6809,none,45,"Drama, Thriller",Henrik Mestad,"Ane Dahl Torp, Eldar Skar, Ingeborga Dapkunaite, none"
380,Conviction,(I) (2016–2017),7.2,6792,none,42,Drama,Hayley Atwell,"Eddie Cahill, Shawn Ashmore, Merrin Dungey, none"
381,"Roswell, New Mexico",(2019– ),6.1,6770,none,45,"Drama, Romance, Sci-Fi",Jeanine Mason,"Nathan Parsons, Michael Vlamis, Lily Cowles, none"
382,Gentleman Jack,(2019– ),8.2,6770,16,60,Drama,Suranne Jones,"Sophie Rundle, Rosie Cavaliero, Albane Courtois, none"
383,Casual,(2015– ),7.5,6764,none,25,"Comedy, Drama",Michaela Watkins,"Tommy Dewey, Tara Lynne Barr, Nyasha Hatendi, none"
384,The Conners,(2018– ),5.1,6750,none,30,Comedy,John Goodman,"Laurie Metcalf, Sara Gilbert, Alicia Goranson, none"
